Lunar IPS (LIPS) Version 1.03
Apply IPS Patch Log

Offset    Size    RLE    IPS_File_Range       IPS_File_Size
------    ----    ID     00000000-00000004        5
000128      27    No     00000005-00000030       2C
000188       1    No     00000031-00000036        6
0001BC      1A    No     00000037-00000055       1F
000244       2    No     00000056-0000005C        7
0003A4     52E    No     0000005D-0000058F      533
0008D8     122    No     00000590-000006B6      127
000A00    2CE3    No     000006B7-0000339E     2CE8
0036F0       1    No     0000339F-000033A4        6
0036FA     D38    No     000033A5-000040E1      D3D
004438    15D1    No     000040E2-000056B7     15D6
005A10    226B    No     000056B8-00007927     2270
007C86    2350    No     00007928-00009C7C     2355
009FDC    78BE    No     00009C7D-0001153F     78C3
0118A0    A052    No     00011540-0001B596     A057
01B8F8    7F19    No     0001B597-000234B4     7F1E
023818     B61    No     000234B5-0002401A      B66
024380     BD5    No     0002401B-00024BF4      BDA
024F5C    1284    No     00024BF5-00025E7D     1289
0261E6    30C4    No     00025E7E-00028F46     30C9
0292B0    21BE    No     00028F47-0002B109     21C3
02B474    1056    No     0002B10A-0002C164     105B
02C4D0    1F56    No     0002C165-0002E0BF     1F5B
02E42C    459A    No     0002E0C0-0003265E     459F
0329CC     8F6    No     0003265F-00032F59      8FB
0332C8    51A2    No     00032F5A-00038100     51A7
038470     BA6    No     00038101-00038CAB      BAB
03901C    FFFF    No     00038CAC-00048CAF    10004
04901B    170A    No     00048CB0-0004A3BE     170F
04A72C    3DD2    No     0004A3BF-0004E195     3DD7
04E504    6445    No     0004E196-000545DF     644A
054950    777D    No     000545E0-0005BD61     7782
05C0D4     6E6    No     0005BD62-0005C44C      6EB
05C7C0    16C6    No     0005C44D-0005DB17     16CB
05DE8C    18CA    No     0005DB18-0005F3E6     18CF
05F75C     346    No     0005F3E7-0005F731      34B
05FAA8    2E91    No     0005F732-000625C7     2E96
062940    1BF9    No     000625C8-000641C5     1BFE
064540     C92    No     000641C6-00064E5C      C97
0651DC     130    No     00064E5D-00064F91      135
065312     333    No     00064F92-000652C9      338
06564C      70    No     000652CA-0006533E       75
0656C4     2D5    No     0006533F-00065618      2DA
0659A2     71B    No     00065619-00065D38      720
0660C4     1D1    No     00065D39-00065F0E      1D6
06629C     530    No     00065F0F-00066443      535
0667D4     408    No     00066444-00066850      40D
066BE4      85    No     00066851-000668DA       8A
066C70     3CC    No     000668DB-00066CAB      3D1
067044     160    No     00066CAC-00066E10      165
0671AC    271E    No     00066E11-00069533     2723
0698D0     B34    No     00069534-0006A06C      B39
06A40C     312    No     0006A06D-0006A383      317
06A724     765    No     0006A384-0006AAED      76A
06AE92     20C    No     0006AAEE-0006ACFE      211
06B0A4     73A    No     0006ACFF-0006B43D      73F
06B7E4     666    No     0006B43E-0006BAA8      66B
06BE50     2C9    No     0006BAA9-0006BD76      2CE
